hh_13,hh_20,hh_27,hh_34,hh_41,hh_48,hh_55,hh_62,hh_69,h0_Th13,h0_Th20,h0_Th27,h0_Th34,h0_Th41,h0_Th48,h0_Th55,h0_Th62,h0_Th69,Energy_Loss
0.0205386,0.0146111,0.0120235,0.0112726,0.00824885,0.00784443,0.0113686,0.0100614,0.00893283,0.0140874,0.0185912,0.0166753,0.0148727,0.0128464,0.0121023,0.010434,0.0104414,0.00838114,-1000
0.0197515,0.0139402,0.0153142,0.011015,0.00896317,0.00926513,0.00887524,0.00974956,0.00877531,0.0200025,0.0183452,0.0133689,0.0128932,0.0135391,0.0109887,0.0117118,0.0113539,0.0106023,-990.35
0.0213382,0.0160578,0.0129983,0.0114322,0.0137288,0.0119141,0.00926888,0.0113743,0.00997926,0.0141326,0.015668,0.0134146,0.0121437,0.0085315,0.0111551,0.0100848,0.010786,0.0123442,-980.7
0.0191843,0.0174101,0.0136293,0.0122051,0.012305,0.0119194,0.00974046,0.00951413,0.00929913,0.0180919,0.0161052,0.014195,0.0130652,0.0104764,0.00922392,0.00908819,0.0141731,0.0106008,-971.05
0.016985,0.0166705,0.017146,0.0106269,0.0128524,0.0100764,0.0103875,0.0116185,0.0112557,0.0153781,0.0151871,0.0123693,0.0132368,0.0131186,0.00974357,0.0114933,0.0124671,0.0120771,-961.4
0.0177434,0.0153354,0.0144741,0.0126136,0.012096,0.00873388,0.0110026,0.0133193,0.0118542,0.0204577,0.0166435,0.0120093,0.0145342,0.0138368,0.0113626,0.0115052,0.0104169,0.0114159,-951.75
0.0166791,0.012769,0.00999821,0.0157388,0.0104981,0.00952575,0.0100137,0.0161738,0.0110976,0.0235426,0.0166607,0.013062,0.0109039,0.0133165,0.0120746,0.00978854,0.00830993,0.0107459,-942.1
0.0183381,0.0145979,0.0127084,0.013622,0.00875924,0.0121096,0.00981397,0.0119223,0.00703383,0.0212336,0.0133923,0.0137508,0.0122392,0.0122292,0.0114201,0.0124065,0.0105326,0.0149682,-932.45
0.0175739,0.0149509,0.0146643,0.0106976,0.00823788,0.0112264,0.0111902,0.010197,0.00687716,0.0226508,0.0133853,0.0118451,0.0160226,0.0112503,0.0135687,0.0119706,0.0110551,0.0157422,-922.8
0.0188741,0.0147143,0.013427,0.0104972,0.0120118,0.0102587,0.013185,0.0128587,0.0107107,0.0232525,0.01623,0.0154362,0.0146044,0.0111697,0.0122208,0.00958038,0.0142492,0.012503,-913.15
0.0182867,0.0180247,0.0150242,0.0140371,0.0103064,0.0108429,0.0139906,0.0104649,0.0113857,0.017144,0.0182746,0.0155564,0.0143731,0.0141793,0.0116527,0.0109838,0.0115369,0.00922751,-903.5
0.01803,0.0174768,0.0142869,0.0138291,0.0125404,0.0101704,0.0124884,0.0105887,0.01113,0.0214731,0.0194017,0.0146209,0.0115014,0.0127527,0.0118205,0.0109903,0.0108782,0.0120139,-893.85
0.018216,0.0161636,0.0140055,0.0128233,0.0124591,0.0103066,0.0108024,0.00870437,0.00925819,0.0210158,0.0203681,0.0173194,0.0140862,0.012307,0.0128135,0.0104747,0.0115815,0.0147607,-884.2
0.0159406,0.0132133,0.0154551,0.0128726,0.0127039,0.0109733,0.0133446,0.00955662,0.00943692,0.0192152,0.0162786,0.0198963,0.0166347,0.0112305,0.013652,0.0118112,0.0130289,0.00863378,-874.55
0.0172624,0.0169372,0.0162692,0.0138482,0.011556,0.0137693,0.0126297,0.0108341,0.0130494,0.0217502,0.0141885,0.0188447,0.0159974,0.015567,0.0135822,0.0139117,0.0122459,0.0139378,-864.9
0.0217867,0.0161212,0.0147342,0.0155103,0.013766,0.0135536,0.010952,0.0166193,0.0143267,0.0217094,0.015505,0.0157758,0.0165058,0.0137276,0.0131683,0.0122415,0.0119639,0.0118161,-855.25
0.0221545,0.0141846,0.0118939,0.0153161,0.0140769,0.0131681,0.0120336,0.0134893,0.0122458,0.0210437,0.0168309,0.015447,0.0165044,0.00934683,0.0131998,0.0102247,0.01251,0.013245,-845.6
0.0200408,0.0164775,0.0148111,0.0135854,0.0137971,0.0134385,0.0128671,0.0135658,0.015774,0.0218633,0.0158797,0.0148909,0.0156917,0.0126233,0.0129918,0.0104337,0.0115381,0.0101345,-835.95
0.0246454,0.0165712,0.019865,0.0146708,0.0166092,0.0128634,0.0139138,0.0137333,0.0139559,0.0185116,0.0140791,0.016473,0.0158688,0.0128744,0.013021,0.012053,0.01281,0.0148944,-826.3
0.0222921,0.0185192,0.0182769,0.0152152,0.0151877,0.0118308,0.0128398,0.0138909,0.0165938,0.0235502,0.0123542,0.0162596,0.0170766,0.0161238,0.0127446,0.0148254,0.0094935,0.0172175,-816.65
0.0237529,0.0191185,0.0174556,0.0142696,0.0151509,0.0107995,0.012519,0.0107876,0.0145293,0.0221254,0.0147175,0.0169004,0.0124897,0.0141568,0.0156783,0.0129293,0.00924296,0.0149812,-807
0.0240671,0.0186131,0.0149756,0.0136943,0.0138651,0.0106549,0.0140955,0.0111265,0.0157447,0.0229467,0.0172976,0.0162408,0.0118623,0.0136597,0.0133931,0.0102104,0.00967859,0.0142668,-797.35
0.0228843,0.0198091,0.0159155,0.0143454,0.012902,0.0112763,0.0161657,0.017397,0.011818,0.0249346,0.0182395,0.0157833,0.0125357,0.0140831,0.0144472,0.0128755,0.0147754,0.0120003,-787.7
0.0210226,0.0219496,0.0126218,0.0142832,0.0121729,0.0130634,0.0160677,0.0136677,0.0118513,0.0217272,0.0194544,0.016661,0.0144313,0.0122421,0.0128952,0.0155363,0.0158312,0.00897956,-778.05
0.0274492,0.0204393,0.0141848,0.0152523,0.0126096,0.0135397,0.015994,0.0129344,0.0139471,0.0181891,0.0176303,0.0192537,0.0187845,0.0162258,0.0133623,0.014366,0.0179058,0.0140567,-768.4
0.0276141,0.0222334,0.018372,0.016956,0.0120024,0.0136059,0.0139902,0.011012,0.0140649,0.0223807,0.0162854,0.0200945,0.0175061,0.0184987,0.0145631,0.012854,0.0157189,0.0143181,-758.75
0.0226618,0.0199633,0.0202298,0.0174122,0.0164921,0.0127284,0.0169107,0.0151223,0.0167324,0.0224751,0.0167008,0.0184325,0.016835,0.0198214,0.0157,0.0148815,0.0141495,0.0200818,-749.1
0.0269612,0.0230851,0.0201908,0.01844,0.0141943,0.0156106,0.0186822,0.0200757,0.0198398,0.0244664,0.0202516,0.0225593,0.0164076,0.0192671,0.0164965,0.0173964,0.0168628,0.0243402,-739.45
0.0280508,0.0208472,0.0211868,0.0187107,0.0165015,0.0206822,0.0215212,0.0231342,0.016923,0.0279905,0.0245516,0.0255046,0.0202863,0.0206021,0.0171408,0.0173917,0.0170854,0.0224578,-729.8
0.0274102,0.019438,0.0206167,0.0185796,0.0195636,0.0188581,0.0196638,0.0227607,0.0187275,0.0245828,0.0275523,0.0245779,0.0216969,0.0229647,0.0164974,0.0193502,0.0179033,0.0175473,-720.15
0.0273225,0.0223389,0.0250114,0.0181834,0.020742,0.0174457,0.0181096,0.0176977,0.0219803,0.0278819,0.0278452,0.0225634,0.023841,0.0250013,0.0182553,0.0204589,0.0175028,0.0166379,-710.5
0.0316018,0.0238692,0.0211434,0.0185274,0.020581,0.0173386,0.0202236,0.02024,0.017627,0.0243462,0.0249343,0.0217139,0.0210852,0.0177032,0.0185228,0.0186782,0.0159501,0.0176989,-700.85
0.0284006,0.0229303,0.0215399,0.0187803,0.0170314,0.016691,0.0155483,0.0166065,0.0176526,0.0235378,0.0221591,0.0226587,0.0217589,0.0168079,0.020563,0.0155471,0.0164081,0.0190387,-691.2
0.0271644,0.0178198,0.0249422,0.0198854,0.0191465,0.0172389,0.0178839,0.0149419,0.0136063,0.0264493,0.021044,0.0222736,0.0195906,0.0185913,0.0156423,0.0145681,0.017621,0.0218666,-681.55
0.0261343,0.0179461,0.0239355,0.0187068,0.0171273,0.0200241,0.0139156,0.0149068,0.0157334,0.0241053,0.0210557,0.0227071,0.0180444,0.0205599,0.016895,0.0175757,0.0179153,0.0199386,-671.9
