hh_Theta=13,hh_Theta=20,hh_Theta=27,hh_Theta=34,hh_Theta=41,hh_Theta=48,hh_Theta=55,hh_Theta=61,hh_Theta=70,h0_Theta=13,h0_Theta=20,h0_Theta=27,h0_Theta=34,h0_Theta=41,h0_Theta=48,h0_Theta=55,h0_Theta=62,h0_Theta=69,h0_Theta=76,EnergyLoss (meV),,
0.0137532,0.0114945,0.00713587,0.00826496,0.00818499,0.00685373,0.0068228,0.00502059,0.00604708,0.0164502,0.0136475,0.00782841,0.00834334,0.00844833,0.00499447,0.00454135,0.0026279,0.00528011,0.0109218,-500,,
0.018435,0.0139449,0.00767529,0.00951198,0.00858317,0.00704868,0.00654783,0.00214604,0.00671999,0.0128097,0.0135517,0.00868964,0.00766252,0.00863491,0.00411564,0.00518137,0.00594617,0.00478644,0.00879958,-490.35,,
0.0175802,0.0122419,0.00799378,0.00578411,0.00642051,0.00670629,0.00616841,0.00551953,0.00511604,0.0127435,0.0115681,0.00860481,0.00755423,0.00838032,0.004315,0.00645404,0.0041058,0.00426816,0.0096183,-480.7,,
0.0176436,0.0124187,0.0110318,0.00607891,0.00616255,0.00611798,0.00521725,0.0063903,0.00375107,0.0174592,0.0114702,0.00742541,0.00731292,0.00607835,0.00423749,0.00442385,0.00322198,0.00477503,0.0106049,-471.05,,
0.0167165,0.0113979,0.0108479,0.00660619,0.00676372,0.00500011,0.00407264,0.00766367,0.00455775,0.0178486,0.0137606,0.00989959,0.00773451,0.00789507,0.00549668,0.00373957,0.00222282,0.00477433,0.00858756,-461.4,,
0.0155113,0.012772,0.0087707,0.00612251,0.00876752,0.00489588,0.00445328,0.00570775,0.00644667,0.0187124,0.0142612,0.0101777,0.00849046,0.00840213,0.0051974,0.00428216,0.00346144,0.00341941,0.0102501,-451.75,,
0.0150039,0.0148779,0.0107396,0.00568002,0.00728288,0.00790022,0.00659864,0.00421056,0.00685378,0.0225288,0.014375,0.00872211,0.00837548,0.00857459,0.0053009,0.00557422,0.00363387,0.00417001,0.0116238,-442.1,,
0.0178613,0.0143236,0.0131172,0.00418292,0.00653917,0.00639777,0.00725318,0.00640224,0.00770977,0.0192882,0.0126363,0.00803996,0.00944312,0.00614349,0.00546721,0.00568586,0.00588653,0.00564227,0.0110621,-432.45,,
0.0173228,0.0134138,0.0088491,0.00900016,0.00403138,0.00720312,0.00627268,0.00548169,0.00647654,0.0177817,0.0110917,0.00860541,0.00974952,0.00874557,0.00401953,0.00568229,0.00573117,0.00618584,0.011331,-422.8,,
0.0173939,0.0126595,0.0115004,0.00731217,0.00529875,0.00630618,0.00573946,0.00596905,0.00511978,0.0162537,0.0116182,0.0102769,0.00933854,0.00708909,0.00493774,0.0057052,0.00412106,0.00534107,0.0102013,-413.15,,
