sample	direction	theta_deg	plot_q	A_elastic	width_elastic	eta_elastic	A_phonon	center_phonon	width_phonon	A_magnetic	epsilon_meV	gamma_meV	background0	background1	background2	min_background_norm	max_component_over_total	fit_status
STO	hh	13	-0.32392516	0.97549843	18.63578	0.02803607	0.24485311	65.429767	23.486261	0.19293092	161.28404	111.07451	0.022639087	2.2245982e-14	0.082676877	0.022640332	0.99999849	OK
STO	hh	20	-0.30052062	0.97152631	18.855869	2.2233336e-14	0.29959372	65.935548	20.992151	0.27673062	163.68969	108.26194	0.015184632	0.0088728174	0.11886786	0.023441372	1	OK
STO	hh	27	-0.27263601	0.98836779	19.318303	2.220744e-14	0.31678609	66.304298	21.112525	0.36720655	160.84383	98.062616	2.2204813e-14	0.03018392	0.094716519	0.022889618	1	OK
STO	hh	34	-0.24068702	0.9647616	18.873989	0.1626849	0.25774196	64.078657	21.483972	0.37194851	164.66036	95.999067	2.2204649e-14	0.018599876	0.12855129	0.016248918	0.99999845	OK
STO	hh	41	-0.20514995	0.98162654	18.690566	0.037527818	0.24549781	65.693864	27.972977	0.37211771	167.05188	85.017046	2.2368355e-14	0.028593005	0.10887666	0.022648192	0.99999879	OK
STO	hh	48	-0.16655456	0.98859749	19.201317	0.026596241	0.19204452	65.590798	21.052642	0.30254695	160.27121	80.611205	2.2204727e-14	0.025147444	0.15735676	0.021683366	0.99999936	OK
STO	hh	55	-0.12547622	0.96559868	18.757456	0.11436696	0.11095682	57.715087	20.573116	0.2521279	145.58539	83.443124	0.01768246	2.2231806e-14	0.12401107	0.017684328	0.99999911	OK
STO	hh	61	-0.088753387	0.98842737	18.439692	0.0050592873	0.11067523	63.62637	16.507802	0.29901494	134.81196	84.67065	0.026003219	2.2207716e-14	0.044635587	0.026003892	0.99999791	OK
STO	hh	70	-0.031974648	0.97662804	20.000257	0.093141705	0.054187428	63.903892	14.753742	0.15985219	124.9723	120.61746	2.2204549e-14	0.014419979	0.067706632	0.011891693	0.99999866	LOW_Q
STO	h0	13	0.45809936	0.97804508	19.152302	0.075819593	0.34566846	60.363077	23.650005	0.19829852	188.32827	114.2438	0.0071511067	0.015885187	0.086648322	0.020575267	0.99999824	OK
STO	h0	20	0.42500034	0.97182094	19.528572	0.10487067	0.35222036	58.764575	22.4544	0.24723018	186.15392	109.92599	0.0077634063	0.013764669	0.096099638	0.019803552	0.99999808	OK
STO	h0	27	0.38556554	0.97156316	18.378763	2.2204469e-14	0.39943311	59.010947	23.632407	0.27453299	186.29946	102.08095	0.024991748	2.2207006e-14	0.10018316	0.024993257	1	OK
STO	h0	34	0.34038285	0.96871746	19.367081	4.7194427e-14	0.34078683	58.840236	21.653922	0.3040107	175.69987	97.843634	3.959573e-14	0.023859785	0.11127144	0.019653153	1	OK
STO	h0	41	0.29012584	0.96642198	18.370257	2.2204579e-14	0.27517037	58.269065	27.532272	0.24929962	172.37733	98.235558	0.025586948	2.2207847e-14	0.12283244	0.025588798	1	OK
STO	h0	48	0.23554371	0.98623621	19.399627	2.220482e-14	0.18847036	62.480691	20.368799	0.25145362	162.89734	89.866233	0.019277133	2.2215408e-14	0.10433686	0.019278704	1	OK
STO	h0	55	0.17745018	0.98244175	18.001651	0.033568601	0.1399583	53.351208	24.749713	0.2348947	149.20725	87.214242	0.02172666	2.225502e-14	0.086425866	0.021727962	0.99999892	OK
STO	h0	62	0.11671127	0.98271697	18.639697	2.2226138e-14	0.092725749	64.676134	22.556413	0.20827911	132.8404	90.691662	0.021289831	2.2227269e-14	0.03463539	0.021290353	1	OK
STO	h0	69	0.054232462	0.98623687	19.438931	0.025279932	0.090623801	60.01062	31.332672	0.055	172.07207	107.5675	0.003111704	0.012019547	0.037323736	0.012203744	0.99999911	LOW_Q
STO	h0	76	-0.0090548253	0.97316271	18.267677	0.048602197	0.0083863492	74.977864	14.141562	0.055	78.179125	279.68678	0.0090559476	0.0025843192	2.2204842e-14	0.009055996	0.99997297	BOUNDARY
LSAT	hh	13	-0.32085596	0.99185377	18	2.2204668e-14	0.10076655	50	36	0.02670235	147.02056	84.68069	0.0089725747	0.0074074884	1.5544715e-12	0.0089729392	1	OK
LSAT	hh	20	-0.29767318	1.0039944	18	2.2205797e-14	0.079878916	56.511342	34.013741	0.018164514	151.38911	78.885447	0.0067444394	0.0058674576	2.2455679e-14	0.0067447282	1	OK
LSAT	hh	27	-0.27005277	1.0214325	17.941102	0.046289979	0.06258298	65.046686	26.683406	0.016764806	154.97782	77.857138	0.0041728163	0.0059097964	3.8851388e-10	0.0041731076	0.99999658	OK
LSAT	hh	34	-0.23840651	1.0012304	18	2.2227248e-14	0.057847221	54.887027	36	0.010000001	152.93751	83.281192	0.0056678097	0.0073390532	3.9749239e-14	0.0056681708	1	OK
LSAT	hh	41	-0.20320614	1.0225986	17.976245	0.0040351831	0.047260371	64.561873	25.296442	0.013789017	147.86026	84.991692	0.0031429509	0.0078271798	5.7549281e-11	0.0031433362	0.99999904	OK
LSAT	hh	48	-0.16497645	1.0071107	18	2.2204648e-14	0.046429711	50	36	0.01	142.86849	89.674751	0.0035483051	0.010117081	2.2205383e-14	0.0035488029	1	OK
LSAT	hh	55	-0.12428733	1.0215624	18	0.012883658	0.035110496	63.683831	23.183415	0.011957095	133.81681	86.297017	0.0030321306	0.0083096292	2.2259474e-14	0.0030325395	0.99999895	OK
LSAT	hh	62	-0.08174538	1.0214417	17.774135	0.040628118	0.028383679	64.959821	20.240237	0.011205669	124.99868	72.999244	0.0031031963	0.0058169566	2.2250647e-14	0.0031034825	0.99999746	OK
LSAT	hh	69	-0.037984792	1.0182694	18	0.021948895	0.018810478	62.68013	14.026482	0.016215583	90.929679	82.812965	0.0025616822	0.0087788485	2.2230552e-14	0.0025621142	0.99999883	LOW_Q
LSAT	h0	13	0.45375885	1.0113245	18	1.8659049e-05	0.074003149	58.564606	35.019198	0.019568397	172.88197	86.650316	0.004580562	0.0095498271	2.2255888e-14	0.0045810319	0.99999989	OK
LSAT	h0	20	0.42097345	1.0018395	18	9.4948746e-13	0.068990279	53.435394	36	0.014075517	169.55372	86.117024	0.005146299	0.010937893	2.223802e-14	0.0051468373	1	OK
LSAT	h0	27	0.3819123	1.0049306	18	0.030801081	0.05323009	57.81192	36	0.010163512	166.59931	81.189236	0.0045802625	0.0079363159	2.2236074e-14	0.0045806531	0.99999827	OK
LSAT	h0	34	0.33715771	1.0132867	18	0.0038012584	0.050430875	61.179116	30.73314	0.011158296	159.30162	79.975935	0.0036533384	0.0093074956	3.460174e-14	0.0036537964	0.99999935	OK
LSAT	h0	41	0.28737689	1.0176544	18	0.024479981	0.043757242	62.072852	27.451176	0.012118876	152.25022	79.5501	0.0028546083	0.007076191	1.9701106e-11	0.0028549565	0.99999827	OK
LSAT	h0	48	0.23331193	1.0059299	18	0.014163395	0.038515916	55.098419	36	0.01	146.96464	73.026793	0.0029423411	0.0095288616	1.172931e-11	0.00294281	0.99999921	OK
LSAT	h0	55	0.17576883	1.0086241	18	2.2819989e-14	0.039396532	50	35.869769	0.01	141.73973	64.999797	0.0034352559	0.0076430057	2.9042238e-11	0.0034356321	1	OK
LSAT	h0	62	0.11560543	1.020867	18	0.020513435	0.031915916	62.986129	24.700717	0.01	139.99893	65.000802	0.0033433377	0.0071403282	2.220446e-14	0.003343689	0.99999879	OK
LSAT	h0	69	0.053718608	1.0217666	17.829529	0.020426186	0.021473368	62.727278	13.104406	0.017529358	96.608118	62.751133	0.0027892108	0.0069254994	2.2245353e-14	0.0027895516	0.99999874	LOW_Q
