sample	direction	theta_deg	h	k	plot_q	epsilon_meV	epsilon_err_meV	gamma_meV	gamma_err_meV	peak_meV	reduced_chi2	fit_status
STO	hh	13	0.32392516	0.32392516	-0.32392516	161.28404	8.0472323	111.07451	12.076294	125	0.00013748836	OK
STO	hh	20	0.30052062	0.30052062	-0.30052062	163.68969	8.076295	108.26194	12.114247	130	0.00042361594	OK
STO	hh	27	0.27263601	0.27263601	-0.27263601	160.84383	8.1100046	98.062616	12.264106	132	0.00015087523	OK
STO	hh	34	0.24068702	0.24068702	-0.24068702	164.66036	8.1547172	95.999067	12.319121	138	0.00041464588	OK
STO	hh	41	0.20514995	0.20514995	-0.20514995	167.05188	8.1057723	85.017046	12.226502	146	0.000218098	OK
STO	hh	48	0.16655456	0.16655456	-0.16655456	160.27121	8.1670398	80.611205	12.22292	141	0.0013074231	OK
STO	hh	55	0.12547622	0.12547622	-0.12547622	145.58539	8.2338221	83.443124	12.253889	123	0.0011583658	OK
STO	hh	61	0.088753387	0.088753387	-0.088753387	134.81196	8.0928208	84.67065	12.142846	110	0.00012077315	OK
STO	hh	70	0.031974648	0.031974648	-0.031974648	124.9723	9.610276	120.61746	24.66384	77	0.00013436013	LOW_Q
STO	h0	13	0.45809936	0	0.45809936	188.32827	8.026968	114.2438	12.044401	155	4.3112874e-05	OK
STO	h0	20	0.42500034	0	0.42500034	186.15392	8.0501013	109.92599	12.094958	155	0.00010875436	OK
STO	h0	27	0.38556554	0	0.38556554	186.29946	8.0812461	102.08095	12.147358	159	0.00021372988	OK
STO	h0	34	0.34038285	0	0.34038285	175.69987	8.0728759	97.843634	12.158913	149	0.00014759851	OK
STO	h0	41	0.29012584	0	0.29012584	172.37733	8.1090834	98.235558	12.172259	145	0.0010041843	OK
STO	h0	48	0.23554371	0	0.23554371	162.89734	8.1214696	89.866233	12.199573	139	0.00046823418	OK
STO	h0	55	0.17745018	0	0.17745018	149.20725	8.2331766	87.214242	12.279141	125	0.00050314762	OK
STO	h0	62	0.11671127	0	0.11671127	132.8404	8.0657048	90.691662	12.105207	104	0.00012310686	OK
STO	h0	69	0.054232462	0	0.054232462	172.07207	10.051186	107.5675	32.257199	140	1.7028529e-05	LOW_Q
STO	h0	76	-0.0090548253	0	-0.0090548253	78.179125	345.92957	279.68678	1534.6436	22	2.4942308e-05	BOUNDARY
LSAT	hh	13	0.32085596	0.32085596	-0.32085596	147.02056	8.007152	84.68069	12.012283	124	4.5823764e-05	OK
LSAT	hh	20	0.29767318	0.29767318	-0.29767318	151.38911	8.0024152	78.885447	12.004125	131	1.5564012e-05	OK
LSAT	hh	27	0.27005277	0.27005277	-0.27005277	154.97782	8.0030188	77.857138	12.005142	136	1.6655253e-05	OK
LSAT	hh	34	0.23840651	0.23840651	-0.23840651	152.93751	8.0021807	83.281192	12.00371	131	1.2759766e-05	OK
LSAT	hh	41	0.20320614	0.20320614	-0.20320614	147.86026	8.0022362	84.991692	12.003829	124	1.4407556e-05	OK
LSAT	hh	48	0.16497645	0.16497645	-0.16497645	142.86849	8.0023469	89.674751	12.004009	116	1.8356339e-05	OK
LSAT	hh	55	0.12428733	0.12428733	-0.12428733	133.81681	8.0019748	86.297017	12.003373	108	1.0783783e-05	OK
LSAT	hh	62	0.08174538	0.08174538	-0.08174538	124.99868	8.0016424	72.999244	12.002805	105	1.0239361e-05	OK
LSAT	hh	69	0.037984792	0.037984792	-0.037984792	90.929679	35.408432	82.812965	79.409628	60	1.1120897e-05	LOW_Q
LSAT	h0	13	0.45375885	0	0.45375885	172.88197	8.0077734	86.650316	12.013093	152	3.7832633e-05	OK
LSAT	h0	20	0.42097345	0	0.42097345	169.55372	8.0069003	86.117024	12.01179	148	4.0917085e-05	OK
LSAT	h0	27	0.3819123	0	0.3819123	166.59931	8.0026789	81.189236	12.004584	147	1.7054845e-05	OK
LSAT	h0	34	0.33715771	0	0.33715771	159.30162	8.0023285	79.975935	12.004012	140	1.5539316e-05	OK
LSAT	h0	41	0.28737689	0	0.28737689	152.25022	8.0015421	79.5501	12.002635	132	9.894303e-06	OK
LSAT	h0	48	0.23331193	0	0.23331193	146.96464	8.0024568	73.026793	12.004194	129	1.4483977e-05	OK
LSAT	h0	55	0.17576883	0	0.17576883	141.73973	8.0016866	64.999797	12.002869	127	1.158681e-05	OK
LSAT	h0	62	0.11560543	0	0.11560543	139.99893	8.0012801	65.000802	12.002185	125	8.7351794e-06	OK
LSAT	h0	69	0.053718608	0	0.053718608	96.608118	23.106624	62.751133	27.722376	78	9.1301219e-06	LOW_Q
