sample	direction	theta_deg	plot_q	epsilon_fit_meV	epsilon_fig4a_meV	delta_epsilon_meV	gamma_fit_meV	gamma_fig4a_meV	delta_gamma_meV	fit_status
STO	hh	13	-0.32392516	161.28404	161	0.28403958	111.07451	111.15355	-0.079042062	OK
STO	hh	20	-0.30052062	163.68969	162.74157	0.94812051	108.26194	107.56625	0.69568962	OK
STO	hh	27	-0.27263601	160.84383	165.59535	-4.7515241	98.062616	99.391862	-1.3292455	OK
STO	hh	34	-0.24068702	164.66036	168	-3.339641	95.999067	95.790301	0.20876617	OK
STO	hh	41	-0.20514995	167.05188	166.34999	0.70188116	85.017046	85.411827	-0.39478088	OK
STO	hh	48	-0.16655456	160.27121	157.19202	3.0791867	80.611205	79.421678	1.1895275	OK
STO	hh	55	-0.12547622	145.58539	140.99049	4.5948982	83.443124	82.572747	0.87037778	OK
STO	hh	61	-0.088753387	134.81196	134	0.81196095	84.67065	85	-0.32935035	OK
STO	hh	70	-0.031974648	124.9723	NaN	NaN	120.61746	NaN	NaN	LOW_Q
STO	h0	13	0.45809936	188.32827	189.08695	-0.75867934	114.2438	113.7689	0.47490479	OK
STO	h0	20	0.42500034	186.15392	187.49994	-1.346023	109.92599	109.47374	0.45225421	OK
STO	h0	27	0.38556554	186.29946	185.55346	0.74600314	102.08095	101.94547	0.1354776	OK
STO	h0	34	0.34038285	175.69987	176.77393	-1.0740571	97.843634	97.669545	0.17408923	OK
STO	h0	41	0.29012584	172.37733	171.56876	0.80857218	98.235558	95.601123	2.6344352	OK
STO	h0	48	0.23554371	162.89734	161.73318	1.1641543	89.866233	88.244394	1.6218392	OK
STO	h0	55	0.17745018	149.20725	145.2059	4.0013517	87.214242	87.703321	-0.48907968	OK
STO	h0	62	0.11671127	132.8404	132	0.84039883	90.691662	90	0.69166219	OK
STO	h0	69	0.054232462	172.07207	NaN	NaN	107.5675	NaN	NaN	LOW_Q
STO	h0	76	-0.0090548253	78.179125	NaN	NaN	279.68678	NaN	NaN	BOUNDARY
LSAT	hh	13	-0.32085596	147.02056	147	0.020557043	84.68069	84.71399	-0.033299715	OK
LSAT	hh	20	-0.29767318	151.38911	151.39499	-0.005880414	78.885447	78.918295	-0.032847189	OK
LSAT	hh	27	-0.27005277	154.97782	155	-0.022177953	77.857138	77.883813	-0.026674865	OK
LSAT	hh	34	-0.23840651	152.93751	152.94038	-0.0028646149	83.281192	83.287661	-0.0064694347	OK
LSAT	hh	41	-0.20320614	147.86026	147.8657	-0.0054378934	84.991692	85	-0.0083077702	OK
LSAT	hh	48	-0.16497645	142.86849	142.87206	-0.003563025	89.674751	89.681477	-0.0067261882	OK
LSAT	hh	55	-0.12428733	133.81681	133.82116	-0.0043497609	86.297017	86.300206	-0.0031887845	OK
LSAT	hh	62	-0.08174538	124.99868	125	-0.0013202769	72.999244	73	-0.00075637122	OK
LSAT	hh	69	-0.037984792	90.929679	NaN	NaN	82.812965	NaN	NaN	LOW_Q
LSAT	h0	13	0.45375885	172.88197	172.95981	-0.077838421	86.650316	86.708535	-0.058219587	OK
LSAT	h0	20	0.42097345	169.55372	169.59388	-0.040161879	86.117024	86.157138	-0.040114558	OK
LSAT	h0	27	0.3819123	166.59931	166.61567	-0.016356522	81.189236	81.205223	-0.015986908	OK
LSAT	h0	34	0.33715771	159.30162	159.31347	-0.011842736	79.975935	80	-0.024065458	OK
LSAT	h0	41	0.28737689	152.25022	152.25976	-0.0095419092	79.5501	79.56494	-0.014840337	OK
LSAT	h0	48	0.23331193	146.96464	146.96813	-0.0034949365	73.026793	73.040811	-0.01401811	OK
LSAT	h0	55	0.17576883	141.73973	141.73844	0.0012871651	64.999797	65	-0.00020341172	OK
LSAT	h0	62	0.11560543	139.99893	140	-0.0010698966	65.000802	65	0.0008021576	OK
LSAT	h0	69	0.053718608	96.608118	NaN	NaN	62.751133	NaN	NaN	LOW_Q
