six_139173_LH_E,six_139173_LH_Rixs,six_139174_LV_E,six_139174_LV_Rixs
850.001,69210,850.002,72082
850.098,69295,850.098,72132
850.197,69311,850.197,72168
850.297,69346,850.296,72167
850.397,69378,850.399,72207
850.498,69408,850.5,72222
850.596,69435,850.599,72255
850.699,69460,850.699,72288
850.8,69500,850.799,72346
850.899,69522,850.9,72368
850.999,69642,850.998,72389
851.099,69682,851.099,72431
851.195,69708,851.199,72530
851.299,69758,851.295,72564
851.399,69798,851.399,72683
851.497,69857,851.499,72759
851.598,69922,851.599,72879
851.699,69997,851.696,73008
851.796,70092,851.799,73207
851.899,70225,851.896,73446
851.996,70396,851.998,73794
852.098,70651,852.095,74250
852.196,70961,852.198,74925
852.299,71454,852.295,75818
852.396,72113,852.397,77072
852.499,73025,852.495,78642
852.596,73889,852.599,80446
852.697,74554,852.694,81919
852.795,74883,852.799,82897
852.9,75005,852.897,83300
852.997,75074,852.999,83385
853.098,75155,853.095,83387
853.196,75222,853.2,83300
853.299,75241,853.296,83067
853.397,75138,853.4,82598
853.499,74961,853.496,81954
853.596,74696,853.6,81084
853.699,74389,853.694,80270
853.794,74151,853.799,79425
853.899,73956,853.894,78734
853.994,73830,853.999,78025
854.099,73718,854.093,77516
854.192,73671,854.199,76979
854.298,73619,854.3,76639
854.399,73594,854.399,76395
854.499,73578,854.499,76193
854.6,73546,854.599,76070
854.699,73534,854.693,75980
854.793,73516,854.798,75862
854.899,73477,854.892,75799
854.993,73432,854.999,75709
855.099,73347,855.093,75655
855.193,73272,855.199,75558
855.299,73170,855.296,75477
855.396,73072,855.399,75368
855.499,72998,855.494,75292
855.594,72927,855.599,75192
855.699,72858,855.699,75244
855.799,72829,855.799,75206
855.899,72801,855.899,75111
855.999,72797,855.999,75069
856.097,72793,856.099,75016
856.199,72791,856.199,74971
856.299,72774,856.299,74932
856.399,72757,856.399,74893
856.499,72753,856.499,74830
856.599,72734,856.599,74800
856.699,72707,856.699,74773
856.799,72668,856.798,74742
856.899,72618,856.895,74711
856.995,72578,856.999,74673
857.098,72534,857.094,74648
857.193,72484,857.198,74591
857.299,72436,857.293,74565
857.393,72417,857.399,74512
857.499,72363,857.492,74473
857.593,72332,857.599,74427
857.699,72295,857.692,74407
857.793,72261,857.799,74366
857.899,72230,857.892,74353
857.992,72186,857.998,74294
858.099,72154,858.094,74280
858.189,72129,858.199,74245
858.299,72074,858.292,74241
858.393,72043,858.399,74220
858.499,72009,858.499,74181
858.592,71979,858.599,74160
858.699,71935,858.693,74132
858.793,71923,858.799,74114
858.899,71885,858.893,74108
858.993,71872,858.999,74077
859.099,71820,859.094,74046
859.194,71816,859.199,74010
859.299,71781,859.293,73994
859.392,71784,859.399,73952
859.499,71742,859.492,73960
859.599,71714,859.599,73921
859.699,71698,859.694,73909
859.793,71662,859.799,73879
859.899,71642,859.893,73878
859.994,71608,859.999,73844
860.099,71606,860.094,73816
860.199,71572,860.198,73794
860.297,71547,860.296,73769
860.399,71510,860.397,73758
860.498,71603,860.499,73753
860.599,71584,860.599,73728
860.697,71562,860.699,73706
860.799,71548,860.798,73712
860.896,71538,860.899,73663
860.998,71517,860.999,73690
861.099,71522,861.099,73653
861.199,71502,861.199,73646
861.298,71501,861.298,73615
861.399,71493,861.399,73612
861.499,71490,861.499,73600
861.599,71495,861.598,73594
861.698,71474,861.699,73587
861.799,71480,861.798,73583
861.898,71503,861.899,73583
861.999,71492,861.999,73583
862.098,71504,862.1,73580
862.199,71521,862.198,73584
862.298,71518,862.299,73558
862.392,71523,862.399,73565
862.498,71534,862.491,73566
862.6,71560,862.599,73553
862.699,71569,862.699,73538
862.792,71575,862.799,73557
862.899,71570,862.891,73580
862.999,71572,862.999,73569
863.098,71593,863.091,73572
863.199,71596,863.198,73553
863.298,71592,863.299,73560
863.399,71613,863.398,73578
863.498,71604,863.499,73553
863.599,71598,863.598,73556
863.698,71607,863.699,73532
863.798,71613,863.798,73558
863.898,71620,863.898,73556
863.999,71621,863.999,73559
864.098,71624,864.098,73551
864.198,71609,864.198,73568
864.298,71626,864.299,73565
864.398,71621,864.399,73571
864.498,71629,864.499,73670
864.599,71612,864.598,73688
864.699,71613,864.692,73680
864.793,71617,864.798,73689
864.899,71604,864.894,73691
864.999,71601,864.999,73689
865.098,71594,865.099,73691
865.199,71593,865.199,73686
865.299,71598,865.292,73692
865.393,71586,865.399,73679
865.499,71568,865.499,73683
865.592,71579,865.598,73685
865.699,71561,865.699,73673
865.799,71543,865.798,73682
865.898,71555,865.891,73698
865.991,71561,865.998,73688
866.099,71532,866.099,73727
866.199,71550,866.198,73719
866.299,71538,866.292,73736
866.392,71539,866.399,73736
866.498,71535,866.492,73752
866.591,71536,866.598,73762
866.698,71521,866.692,73785
866.792,71520,866.799,73777
866.899,71544,866.892,73803
866.992,71546,866.999,73810
867.099,71544,867.092,73836
867.193,71542,867.199,73840
867.299,71551,867.293,73877
867.399,71551,867.398,73887
867.498,71558,867.499,73896
867.6,71566,867.599,73915
867.699,71568,867.699,73937
867.8,71576,867.799,73958
867.899,71577,867.899,73988
867.999,71584,867.999,74012
868.099,71586,868.099,74033
868.198,71603,868.199,74079
868.3,71631,868.299,74108
868.39,71662,868.399,74138
868.498,71666,868.495,74209
868.6,71696,868.599,74263
868.698,71716,868.699,74318
868.799,71754,868.798,74407
868.898,71807,868.898,74483
868.999,71943,868.999,74611
869.098,72025,869.099,74765
869.197,72114,869.198,74941
869.299,72226,869.298,75182
869.399,72372,869.399,75463
869.499,72568,869.499,75810
869.599,72755,869.599,76203
869.699,72955,869.699,76596
869.799,73143,869.795,76978
869.899,73314,869.899,77280
869.992,73461,869.999,77529
870.09,73589,870.091,77664
870.189,73726,870.199,77767
870.299,73804,870.291,77802
870.39,73862,870.399,77787
870.499,73863,870.49,77727
870.592,73869,870.589,77613
870.699,73830,870.692,77489
870.793,73832,870.799,77286
870.899,73822,870.892,77180
870.993,73833,870.999,77025
871.099,73853,871.092,76932
