PNO113_STO_Intensity,PNO113_STO_2Theta,PNO112_STO_Intensity,PNO112_STO_2Theta,PNO113_LSAT_Intensity,PNO113_LSAT_2Theta,PNO112_LSAT_Intensity,PNO112_LSAT_2Theta
1,20,1.66667,20,1,20,0.833333,20
1,20.02,1,20.02,1,20.02,2.5,20.02
8.33333,20.04,1.66667,20.04,1,20.04,2.5,20.04
1,20.06,1.66667,20.06,1,20.06,1.66667,20.06
4.16667,20.08,1,20.08,1,20.08,2.5,20.08
4.16667,20.1,1,20.1,1,20.1,2.5,20.1
1,20.12,1,20.12,8.33333,20.12,2.5,20.12
1,20.14,1.66667,20.14,4.16667,20.14,2.5,20.14
1,20.16,5,20.16,4.16667,20.16,1.66667,20.16
1,20.18,1.66667,20.18,1,20.18,2.5,20.18
4.16667,20.2,1,20.2,4.16667,20.2,3.33333,20.2
4.16667,20.22,1.66667,20.22,1,20.22,0.833333,20.22
1,20.24,1.66667,20.24,4.16667,20.24,3.33333,20.24
1,20.26,3.33333,20.26,4.16667,20.26,3.33333,20.26
1,20.28,1,20.28,4.16667,20.28,3.33333,20.28
1,20.3,1,20.3,4.16667,20.3,1.66667,20.3
1,20.32,1,20.32,1,20.32,1.66667,20.32
8.33333,20.34,1,20.34,8.33333,20.34,3.33333,20.34
4.16667,20.36,1.66667,20.36,1,20.36,1.66667,20.36
1,20.38,1,20.38,1,20.38,1.66667,20.38
1,20.4,1,20.4,8.33333,20.4,1.66667,20.4
4.16667,20.42,1,20.42,1,20.42,2.5,20.42
1,20.44,3.33333,20.44,1,20.44,4.16667,20.44
12.5,20.46,1,20.46,1,20.46,3.33333,20.46
4.16667,20.48,3.33333,20.48,4.16667,20.48,2.5,20.48
4.16667,20.5,1.66667,20.5,1,20.5,0.833333,20.5
8.33333,20.52,1,20.52,4.16667,20.52,3.33333,20.52
4.16667,20.54,1.66667,20.54,4.16667,20.54,0.833333,20.54
1,20.56,1,20.56,1,20.56,0.833333,20.56
1,20.58,1.66667,20.58,1,20.58,1.66667,20.58
4.16667,20.6,1.66667,20.6,1,20.6,1,20.6
12.5,20.62,1,20.62,4.16667,20.62,2.5,20.62
8.33333,20.64,1.66667,20.64,1,20.64,1,20.64
1,20.66,5,20.66,4.16667,20.66,1.66667,20.66
8.33333,20.68,1.66667,20.68,1,20.68,1,20.68
1,20.7,3.33333,20.7,1,20.7,1.66667,20.7
4.16667,20.72,5,20.72,4.16667,20.72,1,20.72
1,20.74,3.33333,20.74,4.16667,20.74,1.66667,20.74
1,20.76,3.33333,20.76,8.33333,20.76,2.5,20.76
1,20.78,1,20.78,1,20.78,1.66667,20.78
1,20.8,1.66667,20.8,1,20.8,2.5,20.8
1,20.82,3.33333,20.82,8.33333,20.82,0.833333,20.82
8.33333,20.84,1.66667,20.84,4.16667,20.84,0.833333,20.84
1,20.86,3.33333,20.86,1,20.86,2.5,20.86
8.33333,20.88,6.66667,20.88,12.5,20.88,1.66667,20.88
4.16667,20.9,1.66667,20.9,1,20.9,2.5,20.9
4.16667,20.92,6.66667,20.92,4.16667,20.92,5.83333,20.92
4.16667,20.94,3.33333,20.94,1,20.94,4.16667,20.94
1,20.96,3.33333,20.96,1,20.96,2.5,20.96
1,20.98,5,20.98,1,20.98,2.5,20.98
4.16667,21,5,21,4.16667,21,1.66667,21
4.16667,21.02,6.66667,21.02,1,21.02,2.5,21.02
1,21.04,1.66667,21.04,1,21.04,2.5,21.04
1,21.06,5,21.06,4.16667,21.06,1.66667,21.06
8.33333,21.08,1.66667,21.08,1,21.08,1.66667,21.08
4.16667,21.1,5,21.1,1,21.1,0.833333,21.1
8.33333,21.12,1.66667,21.12,8.33333,21.12,2.5,21.12
4.16667,21.14,8.33333,21.14,4.16667,21.14,1,21.14
4.16667,21.16,1.66667,21.16,1,21.16,4.16667,21.16
1,21.18,1,21.18,1,21.18,0.833333,21.18
1,21.2,3.33333,21.2,1,21.2,1.66667,21.2
1,21.22,1.66667,21.22,4.16667,21.22,5,21.22
4.16667,21.24,1,21.24,8.33333,21.24,1.66667,21.24
1,21.26,1.66667,21.26,1,21.26,3.33333,21.26
1,21.28,1.66667,21.28,1,21.28,0.833333,21.28
1,21.3,1,21.3,4.16667,21.3,0.833333,21.3
1,21.32,10,21.32,8.33333,21.32,0.833333,21.32
1,21.34,1.66667,21.34,4.16667,21.34,1,21.34
1,21.36,1.66667,21.36,4.16667,21.36,5,21.36
8.33333,21.38,3.33333,21.38,1,21.38,1,21.38
4.16667,21.4,3.33333,21.4,4.16667,21.4,1,21.4
1,21.42,1.66667,21.42,1,21.42,4.16667,21.42
8.33333,21.44,8.33333,21.44,16.6667,21.44,5,21.44
1,21.46,1,21.46,1,21.46,3.33333,21.46
1,21.48,1,21.48,1,21.48,4.16667,21.48
4.16667,21.5,6.66667,21.5,4.16667,21.5,3.33333,21.5
4.16667,21.52,5,21.52,1,21.52,0.833333,21.52
1,21.54,1.66667,21.54,20.8333,21.54,0.833333,21.54
4.16667,21.56,1.66667,21.56,8.33333,21.56,5.83333,21.56
4.16667,21.58,3.33333,21.58,4.16667,21.58,3.33333,21.58
4.16667,21.6,1.66667,21.6,1,21.6,2.5,21.6
8.33333,21.62,5,21.62,1,21.62,3.33333,21.62
1,21.64,1,21.64,4.16667,21.64,5,21.64
4.16667,21.66,8.33333,21.66,12.5,21.66,3.33333,21.66
4.16667,21.68,1.66667,21.68,8.33333,21.68,3.33333,21.68
1,21.7,1.66667,21.7,1,21.7,1.66667,21.7
4.16667,21.72,1,21.72,4.16667,21.72,1.66667,21.72
4.16667,21.74,1.66667,21.74,12.5,21.74,3.33333,21.74
1,21.76,3.33333,21.76,8.33333,21.76,4.16667,21.76
8.33333,21.78,1.66667,21.78,8.33333,21.78,1.66667,21.78
12.5,21.8,1,21.8,8.33333,21.8,1.66667,21.8
4.16667,21.82,5,21.82,4.16667,21.82,0.833333,21.82
